"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000588, 1, 0.000588, hesbo_0='0.0',hesbo_1='0.0',hesbo_10='0.0',hesbo_11='0.0',hesbo_12='0.0',hesbo_13='0.0',hesbo_14='0.0',hesbo_15='0.0',hesbo_2='0.0',hesbo_3='0.0',hesbo_4='0.0',hesbo_5='0.0',hesbo_6='0.0',hesbo_7='0.0',hesbo_8='0.0',hesbo_9='0.0'
0.013754, -66.653000, 0.018542, 1, 0.004789, hesbo_0='0.0',hesbo_1='0.0',hesbo_10='0.0',hesbo_11='0.0',hesbo_12='0.0',hesbo_13='0.0',hesbo_14='0.0',hesbo_15='0.0',hesbo_2='0.0',hesbo_3='0.0',hesbo_4='0.0',hesbo_5='0.0',hesbo_6='0.0',hesbo_7='0.0',hesbo_8='0.0',hesbo_9='0.0'
0.028858, -82.695800, 0.051774, 2, 0.022916, hesbo_0='-0.838252153699953',hesbo_1='-0.4494508597389566',hesbo_10='-0.16204957261130848',hesbo_11='-0.28781706769154725',hesbo_12='-0.1471129961407549',hesbo_13='-0.0457125066517059',hesbo_14='-0.122387941685415',hesbo_15='-0.6727988653109906',hesbo_2='-0.8440630936869291',hesbo_3='0.05411948219980989',hesbo_4='-0.6041691886146332',hesbo_5='-0.13283549586007726',hesbo_6='0.6080064167225598',hesbo_7='-0.7802567525037778',hesbo_8='-0.07235587839868951',hesbo_9='0.08741474239621794'
0.048293, -234.971400, 1.926082, 3, 1.877789, hesbo_0='0.5952025702524',hesbo_1='-0.35215033820032526',hesbo_10='0.1814842542950703',hesbo_11='0.4568220786096837',hesbo_12='0.42540244186741716',hesbo_13='0.5991015493468139',hesbo_14='0.356917834041933',hesbo_15='0.5997651099377939',hesbo_2='0.8322432809391902',hesbo_3='-0.6531575039312885',hesbo_4='-0.7445118214721784',hesbo_5='-0.387343397855866',hesbo_6='0.7411201828483003',hesbo_7='-0.6616348211275942',hesbo_8='-0.11357482050302248',hesbo_9='0.05871575544373275'
0.148081, -235.492000, 14.154231, 4, 14.006150, hesbo_0='0.5332431091227618',hesbo_1='-0.3631308978629698',hesbo_10='0.1814842542950703',hesbo_11='0.401718996150102',hesbo_12='0.5463124699042463',hesbo_13='0.5991015493468139',hesbo_14='0.31107407643700125',hesbo_15='0.5997651099377939',hesbo_2='0.8322432809391902',hesbo_3='-0.6531575039312885',hesbo_4='-0.3948483616945768',hesbo_5='-0.3968434267584974',hesbo_6='0.7411201828483003',hesbo_7='-0.6616348211275942',hesbo_8='-0.22839454577788',hesbo_9='0.05871575544373275'
0.155228, -296.077100, 14.167916, 5, 14.012688, hesbo_0='0.26139166293162663',hesbo_1='-0.596543493569262',hesbo_10='-0.8625771456517963',hesbo_11='0.6138558009923665',hesbo_12='0.6889684181795557',hesbo_13='-0.6411231807390634',hesbo_14='-0.24211664853403225',hesbo_15='0.5435594814831872',hesbo_2='0.9413144464784862',hesbo_3='-0.8150196461632815',hesbo_4='0.5989538732760389',hesbo_5='-0.40036920065701453',hesbo_6='-0.6363070387446133',hesbo_7='-0.7484942343401673',hesbo_8='-0.8997803018836659',hesbo_9='0.01294410057293005'
0.280378, -347.824900, 26.657134, 6, 26.376756, hesbo_0='0.4160164036716758',hesbo_1='0.16390199039623976',hesbo_10='-0.714315207454433',hesbo_11='0.026429021053161028',hesbo_12='0.9110687808391225',hesbo_13='-0.6940959039522927',hesbo_14='0.8112253209033198',hesbo_15='0.5032297753259662',hesbo_2='0.42322184588637657',hesbo_3='0.12340234032226216',hesbo_4='-0.16900923902044673',hesbo_5='0.8672172156585376',hesbo_6='-0.7517892072237913',hesbo_7='-0.5878743961332475',hesbo_8='0.5806190125143567',hesbo_9='0.8919861634654014'
0.443181, -390.724300, 44.801863, 7, 44.358682, hesbo_0='0.7451872163762308',hesbo_1='-0.1382265413045789',hesbo_10='0.15225880432140237',hesbo_11='0.8852270886258986',hesbo_12='0.48687292022811945',hesbo_13='-0.5502393512533506',hesbo_14='0.5938059569792187',hesbo_15='0.4109913114731236',hesbo_2='-0.6496599568431765',hesbo_3='-0.7179880313815554',hesbo_4='0.7961462778846056',hesbo_5='-0.012030036368682051',hesbo_6='-0.7227610395379092',hesbo_7='-0.8115360477994522',hesbo_8='0.7467803426464241',hesbo_9='-0.854424781488152'
0.474565, -402.892000, 52.191997, 8, 51.717432, hesbo_0='0.030926619251037346',hesbo_1='0.16639441906244512',hesbo_10='0.35175721246138836',hesbo_11='-0.4440971139055254',hesbo_12='0.8271317603666306',hesbo_13='-0.8887815940152317',hesbo_14='-0.7083051118668682',hesbo_15='-0.2873633873249508',hesbo_2='-0.5054249941299691',hesbo_3='-0.20999807293155937',hesbo_4='0.9560014897273867',hesbo_5='0.8434195096943413',hesbo_6='-0.7456494676302161',hesbo_7='0.7357830619236223',hesbo_8='0.5740769562494077',hesbo_9='0.6030284508678436'
0.480956, -407.956700, 52.207727, 9, 51.726771, hesbo_0='0.7451872163762308',hesbo_1='-0.1382265413045789',hesbo_10='0.15225880432140237',hesbo_11='0.9420382672174856',hesbo_12='0.6895179203154058',hesbo_13='-0.5502393512533506',hesbo_14='0.5435879879071115',hesbo_15='0.6298127557699804',hesbo_2='-0.4898252604862746',hesbo_3='-0.7179880313815554',hesbo_4='0.7961462778846056',hesbo_5='-0.01751792619000192',hesbo_6='-0.729121888754463',hesbo_7='-0.8115360477994522',hesbo_8='0.7467803426464241',hesbo_9='-0.9788574690920455'
0.514540, -410.792100, 59.748551, 10, 59.234011, hesbo_0='0.8248849180894924',hesbo_1='-0.1349100403799608',hesbo_10='0.2412040714525181',hesbo_11='0.8852270886258986',hesbo_12='0.6760629904025326',hesbo_13='-0.5565972319539003',hesbo_14='0.5247013757853993',hesbo_15='0.4109913114731236',hesbo_2='-0.4876014605013249',hesbo_3='-0.6317165097186124',hesbo_4='0.8928386326835189',hesbo_5='-0.012030036368682051',hesbo_6='-0.7227610395379092',hesbo_7='-0.7580327039985006',hesbo_8='0.7467803426464241',hesbo_9='-0.971794354903383'
0.520581, -417.023600, 59.762472, 11, 59.241891, hesbo_0='0.8984727558511847',hesbo_1='-0.1382265413045789',hesbo_10='0.14633743623806716',hesbo_11='0.927520901957559',hesbo_12='0.6895179203154058',hesbo_13='-0.5502393512533506',hesbo_14='0.5435879879071115',hesbo_15='0.6298127557699804',hesbo_2='-0.4144870957075837',hesbo_3='-0.7796857551441999',hesbo_4='0.881354398672634',hesbo_5='-0.01751792619000192',hesbo_6='-0.729121888754463',hesbo_7='-0.8715972393264436',hesbo_8='0.7467803426464241',hesbo_9='-0.9788574690920455'
